omrrts,Customer_#,Order_Date,Product_#,Quantity,Unit_Price,Total_Cost,Order_Category
101,10127,2015-09-23 00:00:00,Product 8,23,8,184,Large Order
102,10041,2015-11-10 00:00:00,Product 1,6,18,108,Normal Order
103,10044,2010-03-29 00:00:00,Product 10,19,13,247,Large Order
104,10125,2014-06-02 00:00:00,Product 6,29,4,116,Large Order
105,10034,2011-10-21 00:00:00,Product 6,30,4,120,Large Order
106,10054,2013-08-24 00:00:00,Product 5,30,12,360,Large Order
107,10075,2012-03-02 00:00:00,Product 3,24,12,288,Large Order
108,10123,2011-10-01 00:00:00,Product 7,16,9,144,Large Order
109,10036,2013-11-28 00:00:00,Product 3,13,12,156,Normal Order
110,10017,2015-08-29 00:00:00,Product 7,17,9,153,Large Order
111,10041,2015-12-08 00:00:00,Product 2,7,12,84,Normal Order
112,10051,2010-07-05 00:00:00,Product 5,22,12,264,Large Order
113,10057,2012-01-31 00:00:00,Product 3,25,12,300,Large Order
114,10113,2011-12-01 00:00:00,Product 1,29,18,522,Large Order
115,10123,2013-08-06 00:00:00,Product 6,17,4,68,Large Order
116,10104,2015-11-29 00:00:00,Product 9,29,2,58,Large Order
117,10083,2015-01-17 00:00:00,Product 8,1,8,8,Small Order
118,10050,2010-03-25 00:00:00,Product 3,2,12,24,Small Order
119,10063,2015-11-02 00:00:00,Product 5,25,12,300,Large Order
120,10040,2013-11-20 00:00:00,Product 7,23,9,207,Large Order
121,10017,2014-11-15 00:00:00,Product 4,19,2,38,Large Order
122,10078,2010-08-26 00:00:00,Product 4,18,2,36,Large Order
123,10028,2010-10-08 00:00:00,Product 2,20,12,240,Large Order
